"Titulacion";"Codigo";"Asignatura";"Semestre"
"56IA";565000111;"CÁLCULO INFINITESIMAL";1
"56IA";565000112;"ÁLGEBRA LINEAL";1
"56IA";565000113;"FÍSICA I";1
"56IA";565000114;"QUÍMICA";1
"56IA";565000115;"EXPRESIÓN GRÁFICA Y DISEÑO ASISTIDO POR ORDENADOR";1
"56IA";565000121;"ESTADÍSTICA";2
"56IA";565000122;"AMPLIACIÓN DE MATEMÁTICAS";2
"56IA";565000123;"FÍSICA II";2
"56IA";565000124;"INFORMÁTICA";2
"56IA";565000125;"MÉTODOS NUMÉRICOS EN INGENIERÍA ELECTRÓNICA";2
"56IA";565000131;"ECONOMÍA GENERAL Y DE LA EMPRESA";3
"56IA";565000132;"ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION";8
"56IA";565000132;"ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION";3
"56IA";565000133;"CIENCIA DE MATERIALES";3
"56IA";565000134;"TEORÍA DE CIRCUITOS";3
"56IA";565000135;"RESISTENCIA DE MATERIALES";3
"56IA";565000136;"TERMODINÁMICA";3
"56IA";565000141;"ORGANIZACIÓN INDUSTRIAL";4
"56IA";565000142;"AUTOMÁTICA";4
"56IA";565000143;"ELECTRÓNICA";4
"56IA";565000144;"TECNOLOGÍAS DE FABRICACIÓN";4
"56IA";565000145;"MÁQUINAS ELÉCTRICAS";4
"56IA";565000146;"TRANSMISIÓN DE CALOR";4
"56IA";565000147;"MECÁNICA DE FLUIDOS";4
"56IA";565000151;"OFICINA TÉCNICA";5
"56IA";565000152;"TEORÍA DE MÁQUINAS Y MECANISMOS";5
"56IA";565000153;"ELECTRÓNICA ANALÓGICA";5
"56IA";565000154;"ELECTRÓNICA DIGITAL Y MICROPROCESADORES";5
"56IA";565000155;"REGULACIÓN AUTOMÁTICA";5
"56IA";565000161;"MEDIO AMBIENTE";6
"56IA";565000162;"ELECTRÓNICA DE POTENCIA";6
"56IA";565000163;"INSTRUMENTACIÓN ELECTRÓNICA";6
"56IA";565000164;"ROBÓTICA";6
"56IA";565000165;"AUTOMATIZACIÓN INDUSTRIAL";6
"56IA";565000166;"INFORMÁTICA INDUSTRIAL Y COMUNICACIONES";6
"56IA";565000171;"SISTEMAS ELECTRÓNICOS INDUSTRIALES";7
"56IA";565000172;"SISTEMAS ELECTRÓNICOS DIGITALES";7
"56IA";565000173;"SISTEMAS INFORMÁTICOS INDUSTRIALES";7
"56IA";565000174;"INGENIERÍA DE CONTROL";7
"56IA";565000182;"2º IDIOMA EXTRANJERO: FRANCÉS";8
"56IA";565000183;"COMUNICACIÓN ORAL Y ESCRITA";8
"56IA";565000184;"AMPLIACIÓN DE FÍSICA";8
"56IA";565000185;"SEGURIDAD Y SALUD EN EL TRABAJO";8
"56IA";565000187;"NIVELACIÓN DE INGLÉS";3
"56IA";565000186;"TRABAJO FIN DE GRADO";12
"56IE";565000211;"CÁLCULO INFINITESIMAL";1
"56IE";565000212;"ÁLGEBRA LINEAL";1
"56IE";565000213;"FÍSICA I";1
"56IE";565000214;"QUÍMICA";1
"56IE";565000215;"EXPRESIÓN GRÁFICA Y DISEÑO ASISTIDO POR ORDENADOR";1
"56IE";565000221;"ESTADÍSTICA";2
"56IE";565000222;"AMPLIACIÓN DE MATEMÁTICAS";2
"56IE";565000223;"FÍSICA II";2
"56IE";565000224;"INFORMÁTICA";2
"56IE";565000225;"MÉTODOS NUMÉRICOS EN INGENIERÍA ELÉCTRICA";2
"56IE";565000231;"ECONOMÍA GENERAL Y DE LA EMPRESA";3
"56IE";565000232;"ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION";3
"56IE";565000232;"ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION";8
"56IE";565000233;"RESISTENCIA DE MATERIALES";3
"56IE";565000234;"CIENCIA DE MATERIALES";3
"56IE";565000235;"TEORÍA DE CIRCUITOS";3
"56IE";565000236;"TERMODINÁMICA";3
"56IE";565000241;"MEDIO AMBIENTE";4
"56IE";565000242;"AUTOMÁTICA";4
"56IE";565000243;"TECNOLOGÍAS DE FABRICACIÓN";4
"56IE";565000244;"MÁQUINAS ELÉCTRICAS";4
"56IE";565000245;"TRANSMISIÓN DE CALOR";4
"56IE";565000246;"TEORÍA DE CIRCUITOS II";4
"56IE";565000247;"ELECTRÓNICA";4
"56IE";565000251;"MECÁNICA DE FLUIDOS";5
"56IE";565000252;"INSTALACIONES ELÉCTRICAS EN BAJA TENSIÓN";5
"56IE";565000253;"TEORÍA DE MÁQUINAS Y MECANISMOS";5
"56IE";565000254;"TEORÍA DE CIRCUITOS III";5
"56IE";565000255;"AMPLIACIÓN DE MÁQUINAS ELÉCTRICAS";5
"56IE";565000256;"AUTOMATIZACIÓN INDUSTRIAL";5
"56IE";565000257;"LÍNEAS SUBTERRÁNEAS DE ALTA TENSIÓN Y CENTROS DE TRANSFORMACIÓN";5
"56IE";565000261;"ORGANIZACIÓN INDUSTRIAL";6
"56IE";565000262;"MEDIDAS ELÉCTRICAS";6
"56IE";565000263;"SEGURIDAD Y SALUD EN EL TRABAJO";6
"56IE";565000264;"ELECTRÓNICA DE POTENCIA";6
"56IE";565000265;"CÁLCULO Y DISEÑO DE MÁQUINAS ELÉCTRICAS";6
"56IE";565000266;"DISEÑO DE CENTRALES ELÉCTRICAS";6
"56IE";565000267;"LÍNEAS AÉREAS DE ALTA TENSIÓN";6
"56IE";565000271;"OFICINA TÉCNICA";7
"56IE";565000272;"PROTECCIONES ELÉCTRICAS";7
"56IE";565000273;"CÁLCULO Y DISEÑO DE SUBESTACIONES";7
"56IE";565000274;"SISTEMAS ELÉCTRICOS Y DE POTENCIA";7
"56IE";565000275;"ENERGÍAS RENOVABLES";7
"56IE";565000276;"CONTROL DE MÁQUINAS Y ACCIONAMIENTOS ELÉCTRICOS";7
"56IE";565000282;"2º IDIOMA EXTRANJERO: FRANCÉS";8
"56IE";565000283;"AMPLIACIÓN DE FÍSICA";8
"56IE";565000284;"COMUNICACIÓN ORAL Y ESCRITA";8
"56IE";565000286;"NIVELACIÓN DE INGLÉS";3
"56IE";565000285;"TRABAJO FIN DE GRADO";12
"56IE";565002088;"TOPICS IN ENGINEERING MATHEMATICS";2
"56IM";565000311;"CÁLCULO INFINITESIMAL";1
"56IM";565000312;"ÁLGEBRA LINEAL";1
"56IM";565000313;"FÍSICA I";1
"56IM";565000314;"QUÍMICA";1
"56IM";565000315;"EXPRESIÓN GRÁFICA Y DISEÑO ASISTIDO POR ORDENADOR";1
"56IM";565000321;"ESTADÍSTICA";2
"56IM";565000322;"AMPLIACIÓN DE MATEMÁTICAS";2
